url,dzielnica,cena,powierzchnia,ogrod_fragment,zrodlo,data_dodania
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-50m2-z-ogrodem-125m2-piwnica-i-miejscem-ID4vaIt,"ul. Kazimierza Wielkiego, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie",Brak,Brak,Informacje dodatkowe : balkon ogródek taras garaż/miejsce parkingow,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-ogrodek-bez-prowizji-ID4uiIY,"ul. Wspólna, Olszynka, Gdańsk, pomorskie",Brak,Brak, 3-pokojowe mieszkanie 60m2 + ogródek Bez Prowizji 947 488 zł 15 76,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-w-centrum-wrzeszcza-ID4viyG,"ul. Tadeusza Kościuszki, Wrzeszcz Dolny, Gdańsk, pomorskie",Brak,Brak,omości Informacje dodatkowe : ogródek garaż/miejsce parkingowe piwn,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/3-pokoje-miejsce-postojowe-i-ogrod-w-cenie-ID4wFEo,"Chełm, Gdańsk, pomorskie",Brak,Brak,"3 pokoje, miejsce postojowe i ogród w cenie 720 000 zł 10 902 zł/",otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-gdansk-przymorze-ID4viy7,"Przymorze Wielkie, Gdańsk, pomorskie",Brak,Brak,omości Informacje dodatkowe : ogródek taras Budynek i materiały Rok,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/wielki-rabat-do-sobot-umow-sie-dzisiaj-290tysnetto-ID4vixR,"Śródmieście, Gdańsk, pomorskie",Brak,Brak,acje dodatkowe : balkon taras ogródek Budynek i materiały Rok budow,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-ogrodek-bez-prowizji-ID4upDI,"ul. Janusza Kusocińskiego, Piecki-Migowo, Gdańsk, pomorskie",Brak,Brak, 2-pokojowe mieszkanie 41m2 + ogródek Bez Prowizji 570 979 zł 13 65,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/3-pokoje-wysoki-standard-lastadia-ID4vbRG,"ul. Lastadia, Śródmieście, Gdańsk, pomorskie",Brak,Brak,ywatny Informacje dodatkowe : ogródek pom. użytkowe piwnica oddziel,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/umow-sie-na-dni-otwarte-przystepne-ceny-ID4viwz,"Śródmieście, Gdańsk, pomorskie",Brak,Brak,acje dodatkowe : balkon taras ogródek Budynek i materiały Rok budow,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/nowy-apartament-w-gdansku-przymorzu-ID4sP7k,"ul. Słupska, Przymorze Małe, Gdańsk, pomorskie",Brak,Brak,omości Informacje dodatkowe : ogródek taras garaż/miejsce parkingow,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/nowy-apartament-w-gdansku-przymorzu-ID4sP7l,"ul. Słupska, Przymorze Małe, Gdańsk, pomorskie",Brak,Brak,omości Informacje dodatkowe : ogródek taras garaż/miejsce parkingow,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-z-duzym-ogrodkiem-133m2-ID4wRKX,"ul. Magellana 8, Piecki-Migowo, Gdańsk, pomorskie",Brak,Brak,ywatny Informacje dodatkowe : ogródek garaż/miejsce parkingowe piwn,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/apartament-z-ogrodem-umow-sie-dzis-dni-otwarte-ID4visv,"Śródmieście, Gdańsk, pomorskie",Brak,Brak,acje dodatkowe : balkon taras ogródek garaż/miejsce parkingowe Budy,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-ogrodek-bez-prowizji-ID4upDT,"ul. Janusza Kusocińskiego, Piecki-Migowo, Gdańsk, pomorskie",Brak,Brak, 3-pokojowe mieszkanie 64m2 + ogródek Bez Prowizji 815 925 zł 12 65,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-ogrodek-ID4wJrP,"Gen. Władysława Andersa, Jasień, Gdańsk, pomorskie",Brak,Brak, 2-pokojowe mieszkanie 41m2 + ogródek 643 319 zł 15 350 zł/m² Gen. ,otodom,18:13-08-05-2025
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-ogrodek-ID4uhRj,"ul. Lubowidzka, Jasień, Gdańsk, pomorskie",Brak,Brak, 2-pokojowe mieszkanie 41m2 + ogródek 478 000 zł 11 616 zł/m² ul. L,otodom,18:13-08-05-2025
